"Title","Genre","Year","Rating","Duration","Director","Status","Language","Description"
"Ex Machina","Drama","2014","7.7","108","Alex Garland","Watched","","A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a breath-taking humanoid A.I."
"The Belko Experiment","Action","2016","6.3","89","Greg McLean","Watchlist","","In a twisted social experiment, 80 Americans are locked in their high-rise corporate office in Bogotá, Colombia and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed."
"12 Years a Slave","Drama","2013","8.1","134","Steve McQueen","Watched","","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
"The Bad Batch","Sci-Fi","2016","6.1","118","Ana Lily Amirpour","Watched","","A dystopian love story in a Texas wasteland and set in a community of cannibals."
"300","Action","2006","7.7","117","Zack Snyder","Watched","","King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C."
"Harry Potter and the Deathly Hallows: Part 2","Drama","2011","8.1","130","David Yates","Watched","","Harry, Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
"Office Christmas Party","Comedy","2016","5.8","105","Josh Gordon","Watchlist","","When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand..."
"The Neon Demon","Horror","2016","6.2","118","Nicolas Winding Refn","Watched","","When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has."
"Dangal","Action","2016","8.8","161","Nitesh Tiwari","Watched","","Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression."
"10 Cloverfield Lane","Drama","2016","7.2","104","Dan Trachtenberg","Watched","","After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack."
"Finding Dory","Comedy","2016","7.4","97","Andrew Stanton","Watched","","The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way."
"Miss Peregrine's Home for Peculiar Children","Drama","2016","6.7","127","Tim Burton","Watched","","When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers."
"Divergent","Sci-Fi","2014","6.7","139","Neil Burger","Watched","","In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late."
"Mike and Dave Need Wedding Dates","Comedy","2016","6.0","98","Jake Szymanski","Watchlist","","Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo."
"Boyka: Undisputed IV","Action","2016","7.4","86","Todor Chapkanov","Watched","","In the fourth installment of the fighting franchise, Boyka is shooting for the big leagues when an accidental death in the ring makes him question everything he stands for."
"The Dark Knight Rises","Action","2012","8.5","164","Christopher Nolan","Watched","","Eight years after the Joker's reign of anarchy, the Dark Knight, with the help of the enigmatic Selina, is forced from his imposed exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane."
"The Jungle Book","Drama","2016","7.5","106","Jon Favreau","Watched","","After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo."
"Transformers: Age of Extinction","Action","2014","5.7","165","Michael Bay","Watchlist","","Autobots must escape sight from a bounty hunter who has taken control of the human serendipity: Unexpectedly, Optimus Prime and his remaining gang turn to a mechanic, his daughter, and her back street racing boyfriend for help."
"Nerve","Crime","2016","6.6","96","Henry Joost","Watchlist","","A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of 'watchers.'"
"Mamma Mia!","Comedy","2008","6.4","108","Phyllida Lloyd","Watchlist","","The story of a bride-to-be trying to find her real father told using hit songs by the popular '70s group ABBA."
"The Revenant","Drama","2015","8.0","156","Alejandro González Iñárritu","Watched","","A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team."
"Fences","Drama","2016","7.3","139","Denzel Washington","Watchlist","","A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life."
"Into the Woods","Comedy","2014","6.0","125","Rob Marshall","Watchlist","","A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree."
"The Shallows","Drama","2016","6.4","86","Jaume Collet-Serra","Watchlist","","A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills."
"Whiplash","Drama","2014","8.5","107","Damien Chazelle","Watched","","A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential."
"Furious 6","Action","2013","7.1","130","Justin Lin","Watched","","Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend, Letty."
"The Place Beyond the Pines","Drama","2012","7.3","140","Derek Cianfrance","Watchlist","","A motorcycle stunt rider turns to robbing banks as a way to provide for his lover and their newborn child, a decision that puts him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective."
"No Country for Old Men","Drama","2007","8.1","122","Ethan Coen","Watched","","Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande."
"The Great Gatsby","Drama","2013","7.3","143","Baz Luhrmann","Watched","","A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby."
"Shutter Island","Thriller","2010","8.1","138","Martin Scorsese","Watched","","In 1954, a U.S. marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane."
"Brimstone","Thriller","2016","7.1","148","Martin Koolhoven","Watchlist","","From the moment the new reverend climbs the pulpit, Liz knows she and her family are in great danger."
"Star Trek","Action","2009","8.0","127","J.J. Abrams","Watchlist","","The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time."
"Diary of a Wimpy Kid","Comedy","2010","6.2","94","Thor Freudenthal","Watchlist","","The adventures of a teenager who is fresh out of elementary and transitions to middle school, where he has to learn the consequences and responsibility to survive the year."
"The Big Short","Comedy","2015","7.8","130","Adam McKay","Watchlist","","Four denizens in the world of high-finance predict the credit and housing bubble collapse of the mid-2000s, and decide to take on the big banks for their greed and lack of foresight."
"Room","Drama","2015","8.2","118","Lenny Abrahamson","Watched","","A young boy is raised within the confines of a small shed."
